                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0508,                 4.5901,                 1.6828,                0.72237,                0.12821,                0.10954,                0.04647,                    nan,                    nan,                    nan,                 0.0673,              0.0003303,              0.0003303
                      2,                 1.7817,                 3.1626,                 1.4374,                0.84404,                0.08034,                0.10841,                0.04907,                    nan,                    nan,                    nan,                 0.0343,             0.00066354,             0.00066354
                      3,                 1.7662,                 2.9786,                 1.4797,                0.64634,                0.17815,                  0.164,                0.07531,                    nan,                    nan,                    nan,              0.0012994,             0.00099642,             0.00099642
                      4,                 1.7085,                 2.7169,                 1.4591,                0.81001,                0.17582,                0.27418,                0.13182,                    nan,                    nan,                    nan,             0.00099875,             0.00099875,             0.00099875
                      5,                 1.6676,                 2.6386,                 1.4369,                0.55883,                0.21928,                 0.4042,                0.11439,                    nan,                    nan,                    nan,             0.00099875,             0.00099875,             0.00099875
                      6,                 1.6405,                 2.6375,                 1.4372,                0.71433,                0.28178,                0.47062,                0.23097,                    nan,                    nan,                    nan,             0.00099778,             0.00099778,             0.00099778
                      7,                 1.6217,                 2.5023,                  1.421,                0.76175,                0.26656,                0.54662,                0.25991,                    nan,                    nan,                    nan,             0.00099654,             0.00099654,             0.00099654
                      8,                 1.5826,                 2.5819,                 1.4363,                0.66631,                0.42496,                0.52389,                0.20266,                    nan,                    nan,                    nan,             0.00099502,             0.00099502,             0.00099502
                      9,                    nan,                    nan,                    nan,                0.71839,                0.38355,                0.47942,                 0.2453,                    nan,                    nan,                    nan,             0.00099322,             0.00099322,             0.00099322
                     10,                 1.5585,                 2.4152,                 1.4252,                0.81953,                0.36773,                0.49367,                0.23097,                    nan,                    nan,                    nan,             0.00099115,             0.00099115,             0.00099115
                     11,                 1.5536,                 2.3619,                   1.39,                0.77587,                 0.2481,                0.45162,                0.20772,                    nan,                    nan,                    nan,             0.00098881,             0.00098881,             0.00098881
                     12,                 1.5484,                 2.4303,                 1.3829,                 0.3845,                0.46261,                0.54223,                  0.268,                    nan,                    nan,                    nan,              0.0009862,              0.0009862,              0.0009862
                     13,                 1.5151,                 2.2683,                 1.3842,                0.61645,                0.51832,                0.51739,                0.26846,                    nan,                    nan,                    nan,             0.00098332,             0.00098332,             0.00098332
                     14,                 1.4852,                 2.2824,                 1.3853,                0.38019,                0.28841,                0.30757,                0.14105,                    nan,                    nan,                    nan,             0.00098017,             0.00098017,             0.00098017
                     15,                 1.4998,                 2.3059,                 1.3842,                 0.6758,                0.62017,                0.60354,                0.30508,                    nan,                    nan,                    nan,             0.00097675,             0.00097675,             0.00097675
                     16,                 1.4976,                 2.2027,                 1.3538,                0.65304,                 0.6441,                 0.6613,                0.32695,                    nan,                    nan,                    nan,             0.00097307,             0.00097307,             0.00097307
                     17,                 1.4979,                 2.2296,                 1.3728,                0.55662,                0.50685,                0.65643,                0.33715,                    nan,                    nan,                    nan,             0.00096913,             0.00096913,             0.00096913
                     18,                 1.4826,                   2.21,                 1.3615,                0.43138,                0.73243,                0.68467,                0.34191,                    nan,                    nan,                    nan,             0.00096493,             0.00096493,             0.00096493
