                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3819,                 3.1208,                 1.8941,                0.79359,                 0.1413,                0.42724,                0.19541,                 1.3596,                 5.8792,                 1.3178,             0.00087561,             0.00087561,             0.00087561
                     35,                 1.4093,                 3.1613,                 1.9294,                 0.6385,                0.29925,                0.36303,                0.13961,                 1.3548,                 6.0135,                   1.34,             0.00086833,             0.00086833,             0.00086833
                     36,                 1.4219,                 3.1889,                 1.8962,                0.75512,                0.22917,                0.27366,                 0.1297,                 1.3119,                 7.1472,                 1.4013,             0.00086088,             0.00086088,             0.00086088
                     37,                 1.3713,                   3.12,                 1.8476,                0.63404,                0.26158,                0.40591,                0.19732,                  1.315,                 6.1764,                 1.2292,             0.00085325,             0.00085325,             0.00085325
                     38,                 1.3954,                 3.1784,                 1.9029,                0.62568,                0.25417,                0.44993,                0.18888,                 1.3654,                  5.699,                 1.3164,             0.00084547,             0.00084547,             0.00084547
                     39,                 1.4085,                 3.1894,                 1.9135,                 0.8383,                0.21064,                0.38707,                0.18703,                 1.3346,                 5.3982,                 1.3059,             0.00083752,             0.00083752,             0.00083752
                     40,                    nan,                    nan,                    nan,                0.60105,                0.20417,                0.49094,                0.24567,                 1.3293,                 5.4973,                 1.3093,             0.00082942,             0.00082942,             0.00082942
                     41,                 1.3864,                 3.1641,                 1.8655,                0.86091,                 0.1625,                0.31901,                0.13411,                  1.439,                 5.7987,                 1.2152,             0.00082116,             0.00082116,             0.00082116
                     42,                 1.3349,                 3.1055,                 1.8499,                0.63566,                0.25417,                0.34524,                 0.1808,                 1.3347,                  5.444,                 1.3028,             0.00081275,             0.00081275,             0.00081275
                     43,                    nan,                    nan,                    nan,                0.62297,                 0.1625,                0.46753,                0.19834,                 1.2169,                 5.3274,                 1.2721,              0.0008042,              0.0008042,              0.0008042
                     44,                 1.3722,                 3.1336,                 1.8797,                0.61886,                 0.2444,                0.44669,                0.20339,                 1.2258,                 5.6532,                 1.1619,             0.00079551,             0.00079551,             0.00079551
                     45,                  1.319,                 3.1147,                 1.8241,                0.76192,                 0.1625,                0.38495,                0.16866,                  1.292,                 5.7442,                 1.2397,             0.00078668,             0.00078668,             0.00078668
                     46,                 1.2915,                 2.9898,                 1.8036,                0.70386,                 0.2085,                0.37549,                0.19042,                 1.2434,                 5.3361,                 1.2417,             0.00077772,             0.00077772,             0.00077772
                     47,                    nan,                    nan,                    nan,                0.68529,                0.25922,                0.44878,                0.17912,                 1.4081,                 5.6797,                 1.2881,             0.00076863,             0.00076863,             0.00076863
                     48,                 1.3194,                 2.9859,                 1.7916,                0.69273,                0.15972,                0.40245,                0.17775,                 1.2325,                 5.5199,                 1.2599,             0.00075942,             0.00075942,             0.00075942
                     49,                    nan,                    nan,                    nan,                0.39913,                0.38333,                0.38252,                0.20004,                 1.3434,                 5.7977,                 1.2624,             0.00075009,             0.00075009,             0.00075009
                     50,                 1.2913,                 3.0095,                 1.7816,                0.82931,                0.10417,                0.36123,                0.18328,                 1.3782,                 6.1292,                 1.2958,             0.00074065,             0.00074065,             0.00074065
                     51,                 1.2718,                 2.9387,                 1.7567,                0.90472,                0.16289,                0.46658,                0.24086,                 1.2647,                 5.6583,                 1.2146,             0.00073109,             0.00073109,             0.00073109
