                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8189,                 4.0355,                 1.5454,                      0,                      0,                      0,                      0,                 1.6352,                 9.5881,                  1.098,                 0.0676,             0.00032727,             0.00032727
                      2,                 1.6488,                 3.5053,                 1.4286,                0.66461,                0.09936,                0.11747,                0.05412,                 1.5918,                  7.028,                0.98855,                 0.0346,             0.00066051,             0.00066051
                      3,                 1.5702,                 3.1611,                 1.3465,                0.50796,                0.15241,                 0.1214,                0.05155,                 1.5084,                 6.6065,                0.93729,              0.0015994,             0.00099339,             0.00099339
                      4,                 1.5159,                 2.9937,                 1.3038,                0.85446,                0.08894,                0.13556,                0.05957,                 1.4743,                   5.69,                0.90603,             0.00099875,             0.00099875,             0.00099875
                      5,                 1.4859,                  2.881,                 1.2999,                0.57825,                0.17955,                 0.3836,                0.16154,                 1.4919,                 5.8708,                0.91441,             0.00099875,             0.00099875,             0.00099875
                      6,                 1.4588,                 2.6546,                 1.2743,                0.67763,                0.23257,                0.52963,                0.31409,                 1.4212,                 5.1888,                0.90524,             0.00099778,             0.00099778,             0.00099778
                      7,                 1.4539,                 2.5819,                 1.2911,                0.57972,                0.21913,                0.44873,                0.23669,                 1.3757,                 5.1288,                0.87749,             0.00099654,             0.00099654,             0.00099654
                      8,                 1.4007,                 2.5035,                  1.267,                0.63266,                0.33905,                0.56308,                0.30637,                 1.4057,                  5.114,                0.90174,             0.00099502,             0.00099502,             0.00099502
                      9,                 1.3802,                 2.4287,                 1.2508,                0.63412,                0.30377,                0.58149,                0.27588,                 1.3599,                 4.7209,                0.87868,             0.00099322,             0.00099322,             0.00099322
                     10,                  1.342,                  2.374,                 1.2462,                0.70636,                0.43234,                0.58926,                0.29058,                 1.4191,                 5.2553,                0.95147,             0.00099115,             0.00099115,             0.00099115
                     11,                 1.3245,                 2.3514,                 1.2481,                0.58285,                0.38835,                 0.5393,                0.28899,                 1.3131,                 5.1321,                0.93412,             0.00098881,             0.00098881,             0.00098881
                     12,                 1.3109,                  2.402,                 1.2431,                0.59076,                0.52138,                0.65968,                0.35012,                 1.3797,                 5.0012,                0.90039,              0.0009862,              0.0009862,              0.0009862
                     13,                  1.299,                 2.2631,                 1.2328,                0.57771,                0.36058,                0.65161,                0.30029,                 1.3348,                 4.7764,                0.88643,             0.00098332,             0.00098332,             0.00098332
                     14,                 1.3214,                 2.2793,                 1.2469,                 0.4585,                0.58173,                0.52564,                 0.2467,                 1.3562,                 4.6973,                0.88895,             0.00098017,             0.00098017,             0.00098017
                     15,                 1.2971,                 2.2477,                 1.2304,                 0.6176,                0.59598,                0.68989,                0.37804,                 1.3517,                  4.811,                0.91554,             0.00097675,             0.00097675,             0.00097675
                     16,                 1.3074,                 2.1924,                 1.2282,                0.50362,                0.71474,                 0.6622,                0.33088,                 1.3143,                 4.5122,                0.85782,             0.00097307,             0.00097307,             0.00097307
                     17,                 1.2965,                 2.2346,                 1.2365,                0.59785,                0.59944,                0.62074,                0.31803,                 1.3233,                 4.5663,                0.88937,             0.00096913,             0.00096913,             0.00096913
                     18,                 1.2585,                 2.1441,                  1.207,                 0.5329,                0.65224,                0.65299,                0.34699,                 1.3427,                 4.7988,                0.91715,             0.00096493,             0.00096493,             0.00096493
                     19,                 1.2525,                 2.1235,                 1.1976,                0.68671,                0.69521,                0.76276,                0.36663,                 1.3179,                 4.7157,                 0.8734,             0.00096048,             0.00096048,             0.00096048
                     20,                 1.2531,                 2.1241,                 1.1973,                0.53322,                0.66014,                0.67187,                0.33427,                 1.3507,                 4.5315,                 0.8909,             0.00095577,             0.00095577,             0.00095577
