                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3193,                 2.0945,                 1.2599,                0.52547,                0.69945,                0.70608,                0.33732,                 1.5462,                 5.1359,                 1.0804,             0.00085679,             0.00085679,             0.00085679
                     36,                 1.2946,                 2.0897,                 1.2478,                 0.7476,                0.64524,                0.70691,                0.39956,                 1.4527,                 4.6846,                0.99774,             0.00084848,             0.00084848,             0.00084848
                     37,                 1.3222,                 2.0907,                  1.263,                0.59201,                0.63598,                0.64936,                0.29744,                 1.4305,                 4.7446,                 0.9827,             0.00083998,             0.00083998,             0.00083998
                     38,                 1.2951,                 2.0732,                 1.2471,                0.65194,                0.70646,                0.79356,                0.43448,                  1.453,                 4.4869,                0.97255,              0.0008313,              0.0008313,              0.0008313
                     39,                 1.2702,                  2.041,                 1.2206,                0.48915,                0.67892,                  0.704,                0.39299,                 1.4737,                 4.7145,                0.97039,             0.00082244,             0.00082244,             0.00082244
                     40,                 1.2947,                 2.0604,                 1.2572,                0.72323,                0.65002,                0.66121,                0.34499,                 1.5431,                 4.6759,                 1.0005,              0.0008134,              0.0008134,              0.0008134
                     41,                  1.299,                 2.0661,                 1.2514,                0.60108,                0.74396,                0.74862,                0.42455,                 1.4635,                 4.6119,                0.94905,              0.0008042,              0.0008042,              0.0008042
                     42,                  1.252,                 2.0653,                 1.2325,                  0.587,                0.51987,                0.71707,                0.37703,                 1.5476,                 4.8822,                 1.0341,             0.00079483,             0.00079483,             0.00079483
                     43,                 1.2623,                 2.0752,                 1.2514,                0.63881,                 0.7888,                0.77916,                0.42266,                 1.4585,                 4.7587,                 1.0148,             0.00078531,             0.00078531,             0.00078531
                     44,                 1.2473,                 2.0641,                 1.2516,                0.69639,                0.62788,                0.75971,                0.38034,                 1.5346,                 4.7746,                 1.1027,             0.00077563,             0.00077563,             0.00077563
                     45,                  1.257,                  2.112,                 1.2762,                0.64494,                0.66667,                0.74441,                0.40577,                 1.4885,                 4.8076,                  1.084,             0.00076581,             0.00076581,             0.00076581
                     46,                  1.221,                 2.0501,                 1.2293,                 0.5284,                0.66243,                0.65854,                0.33879,                 1.4177,                 4.8958,                 1.0476,             0.00075584,             0.00075584,             0.00075584
                     47,                 1.1985,                 2.0334,                 1.2328,                0.59692,                0.72596,                 0.7417,                 0.4057,                 1.5176,                 4.8282,                 1.0707,             0.00074574,             0.00074574,             0.00074574
                     48,                 1.2192,                 2.0414,                 1.2357,                0.57548,                0.74699,                0.75302,                0.44107,                 1.4462,                 4.6974,                 1.0192,             0.00073552,             0.00073552,             0.00073552
                     49,                  1.207,                 2.0521,                  1.237,                0.58349,                0.80636,                0.67755,                0.35227,                 1.4462,                 4.7662,                 1.0141,             0.00072517,             0.00072517,             0.00072517
                     50,                  1.198,                 2.0508,                 1.2389,                0.66723,                0.67044,                0.74886,                0.40849,                 1.4124,                 4.4585,                 1.0151,              0.0007147,              0.0007147,              0.0007147
                     51,                 1.2343,                 2.0409,                 1.2306,                 0.6558,                0.70913,                 0.7494,                0.38886,                 1.5333,                 4.7784,                 1.0375,             0.00070412,             0.00070412,             0.00070412
                     52,                 1.2134,                 2.0479,                 1.2572,                0.73736,                0.62073,                0.70736,                0.37276,                 1.4623,                 4.8949,                  1.053,             0.00069344,             0.00069344,             0.00069344
