                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9674,                 4.6029,                 1.7305,                0.32276,                0.07692,                0.07467,                0.03269,                    nan,                    nan,                    nan,                 0.0673,              0.0003303,              0.0003303
                      2,                 1.7136,                 3.6967,                 1.5453,                0.83638,                0.08894,                0.09771,                0.04845,                    nan,                    nan,                    nan,                 0.0343,             0.00066354,             0.00066354
                      3,                  1.618,                 3.3632,                 1.4506,                0.72712,                0.10732,                0.12855,                0.05817,                    nan,                    nan,                    nan,              0.0012994,             0.00099642,             0.00099642
                      4,                  1.546,                 3.0642,                 1.3769,                0.53573,                0.14717,                0.16726,                 0.0672,                    nan,                    nan,                    nan,             0.00099875,             0.00099875,             0.00099875
                      5,                 1.5008,                 2.9783,                 1.3612,                0.51486,                0.20753,                0.32703,                0.11343,                    nan,                    nan,                    nan,             0.00099875,             0.00099875,             0.00099875
                      6,                 1.4781,                 2.8763,                 1.3869,                 0.6158,                0.22423,                0.25024,                0.12119,                    nan,                    nan,                    nan,             0.00099778,             0.00099778,             0.00099778
                      7,                 1.4772,                 2.6661,                 1.3552,                0.53668,                0.24725,                0.36428,                0.20019,                    nan,                    nan,                    nan,             0.00099654,             0.00099654,             0.00099654
                      8,                 1.4283,                 2.7134,                 1.3691,                0.60899,                 0.2054,                0.52128,                0.25515,                    nan,                    nan,                    nan,             0.00099502,             0.00099502,             0.00099502
                      9,                    nan,                    nan,                    nan,                0.63305,                0.25373,                0.46837,                0.21288,                    nan,                    nan,                    nan,             0.00099322,             0.00099322,             0.00099322
                     10,                 1.3737,                 2.5337,                 1.3433,                0.74073,                0.42628,                0.51243,                0.26475,                    nan,                    nan,                    nan,             0.00099115,             0.00099115,             0.00099115
                     11,                 1.3834,                 2.4705,                 1.3201,                 0.5866,                0.53721,                0.52235,                0.26152,                    nan,                    nan,                    nan,             0.00098881,             0.00098881,             0.00098881
                     12,                 1.3551,                 2.6228,                 1.2885,                0.50301,                0.48302,                 0.5215,                0.27512,                    nan,                    nan,                    nan,              0.0009862,              0.0009862,              0.0009862
                     13,                 1.3589,                 2.4254,                 1.3098,                0.56956,                0.41266,                0.49221,                0.27395,                    nan,                    nan,                    nan,             0.00098332,             0.00098332,             0.00098332
                     14,                 1.3269,                 2.3995,                  1.297,                0.59073,                0.54006,                 0.5368,                0.27343,                    nan,                    nan,                    nan,             0.00098017,             0.00098017,             0.00098017
                     15,                 1.3238,                 2.3759,                 1.2946,                0.49355,                 0.6654,                 0.6651,                0.35101,                    nan,                    nan,                    nan,             0.00097675,             0.00097675,             0.00097675
                     16,                 1.3074,                 2.3336,                 1.2799,                0.52016,                0.67975,                0.59468,                0.29443,                    nan,                    nan,                    nan,             0.00097307,             0.00097307,             0.00097307
                     17,                 1.3287,                 2.3088,                 1.2989,                0.51665,                0.70326,                0.50754,                0.26273,                    nan,                    nan,                    nan,             0.00096913,             0.00096913,             0.00096913
                     18,                 1.2974,                 2.2929,                 1.2767,                0.50659,                0.60511,                0.60204,                0.32225,                    nan,                    nan,                    nan,             0.00096493,             0.00096493,             0.00096493
                     19,                  1.319,                 2.3565,                 1.3137,                0.56126,                0.65682,                0.59584,                0.29936,                    nan,                    nan,                    nan,             0.00096048,             0.00096048,             0.00096048
                     20,                 1.2939,                 2.2714,                 1.2745,                0.53526,                0.72052,                0.67681,                0.31062,                    nan,                    nan,                    nan,             0.00095577,             0.00095577,             0.00095577
                     21,                 1.3108,                 2.2346,                 1.2636,                 0.6839,                0.67805,                0.66994,                0.32756,                    nan,                    nan,                    nan,              0.0009508,              0.0009508,              0.0009508
                     22,                 1.2859,                   2.24,                 1.2676,                0.56039,                0.66159,                 0.6337,                0.31098,                    nan,                    nan,                    nan,             0.00094559,             0.00094559,             0.00094559
                     23,                 1.2709,                 2.2375,                 1.2715,                0.70757,                0.72438,                0.75298,                0.40864,                    nan,                    nan,                    nan,             0.00094013,             0.00094013,             0.00094013
                     24,                 1.2911,                 2.1219,                 1.2516,                0.63097,                 0.7374,                0.69085,                0.36792,                    nan,                    nan,                    nan,             0.00093444,             0.00093444,             0.00093444
                     25,                 1.2554,                 2.1237,                 1.2431,                0.57016,                0.77321,                0.72498,                0.39257,                    nan,                    nan,                    nan,              0.0009285,              0.0009285,              0.0009285
                     26,                 1.2242,                 2.1537,                 1.2596,                0.55408,                0.75701,                0.78047,                0.43591,                    nan,                    nan,                    nan,             0.00092232,             0.00092232,             0.00092232
                     27,                 1.2693,                 2.1555,                 1.2501,                0.69747,                 0.5662,                0.69709,                0.37282,                    nan,                    nan,                    nan,             0.00091592,             0.00091592,             0.00091592
                     28,                 1.2381,                 2.1517,                 1.2705,                0.64866,                0.75995,                0.79608,                0.42519,                    nan,                    nan,                    nan,             0.00090928,             0.00090928,             0.00090928
                     29,                 1.2326,                 2.0854,                 1.2374,                0.58448,                0.63619,                0.72613,                0.38859,                    nan,                    nan,                    nan,             0.00090242,             0.00090242,             0.00090242
                     30,                 1.2226,                  2.093,                 1.2332,                0.57543,                0.77442,                0.78671,                0.40372,                    nan,                    nan,                    nan,             0.00089535,             0.00089535,             0.00089535
                     31,                 1.2037,                 2.0369,                 1.2103,                0.59039,                0.68456,                0.75271,                0.42345,                    nan,                    nan,                    nan,             0.00088805,             0.00088805,             0.00088805
                     32,                 1.2098,                 2.0219,                 1.2118,                0.55421,                0.69461,                0.71308,                0.40212,                    nan,                    nan,                    nan,             0.00088054,             0.00088054,             0.00088054
                     33,                 1.2279,                 2.1232,                 1.2273,                0.63885,                0.74582,                0.77758,                0.40423,                    nan,                    nan,                    nan,             0.00087283,             0.00087283,             0.00087283
                     34,                  1.201,                 2.0968,                 1.2033,                0.66331,                0.66359,                0.73585,                0.35811,                    nan,                    nan,                    nan,             0.00086491,             0.00086491,             0.00086491
                     35,                 1.1759,                 2.0397,                 1.1926,                0.54681,                0.76676,                0.76655,                0.39135,                    nan,                    nan,                    nan,             0.00085679,             0.00085679,             0.00085679
                     36,                 1.1739,                 2.0371,                 1.2151,                0.51129,                0.65086,                  0.662,                0.35343,                    nan,                    nan,                    nan,             0.00084848,             0.00084848,             0.00084848
                     37,                 1.1933,                 2.0205,                 1.2255,                 0.7781,                0.64733,                0.73248,                0.39387,                    nan,                    nan,                    nan,             0.00083998,             0.00083998,             0.00083998
                     38,                 1.1686,                 1.9575,                 1.1922,                0.58833,                0.65211,                0.72251,                0.37756,                    nan,                    nan,                    nan,              0.0008313,              0.0008313,              0.0008313
                     39,                 1.1787,                 1.9871,                 1.1931,                0.56689,                0.73534,                0.76605,                0.38819,                    nan,                    nan,                    nan,             0.00082244,             0.00082244,             0.00082244
                     40,                 1.2131,                 1.9642,                 1.2018,                 0.7581,                0.63042,                0.77214,                0.38884,                    nan,                    nan,                    nan,              0.0008134,              0.0008134,              0.0008134
                     41,                 1.1499,                 1.9858,                 1.1896,                0.75367,                0.63438,                0.74915,                0.40978,                    nan,                    nan,                    nan,              0.0008042,              0.0008042,              0.0008042
                     42,                 1.1469,                 2.0318,                 1.1968,                0.60167,                0.73274,                0.76323,                0.41013,                    nan,                    nan,                    nan,             0.00079483,             0.00079483,             0.00079483
                     43,                 1.1796,                 1.9416,                 1.2008,                0.73415,                0.67587,                0.80491,                0.37382,                    nan,                    nan,                    nan,             0.00078531,             0.00078531,             0.00078531
                     44,                 1.1508,                 1.9452,                 1.1817,                0.56885,                0.66706,                0.71192,                0.36017,                    nan,                    nan,                    nan,             0.00077563,             0.00077563,             0.00077563
                     45,                 1.1676,                 1.9711,                 1.1862,                0.59677,                0.76923,                0.78136,                0.41879,                    nan,                    nan,                    nan,             0.00076581,             0.00076581,             0.00076581
                     46,                 1.1183,                 1.9298,                 1.1862,                0.58929,                0.75903,                0.76924,                0.38677,                    nan,                    nan,                    nan,             0.00075584,             0.00075584,             0.00075584
                     47,                  1.168,                 1.9158,                 1.1718,                0.79232,                0.65704,                0.78059,                0.40116,                    nan,                    nan,                    nan,             0.00074574,             0.00074574,             0.00074574
                     48,                 1.0932,                 1.9179,                 1.1507,                0.62476,                0.67674,                0.78205,                0.43904,                    nan,                    nan,                    nan,             0.00073552,             0.00073552,             0.00073552
                     49,                 1.0888,                 1.9571,                 1.1123,                0.77082,                0.61724,                0.72826,                0.37154,                    nan,                    nan,                    nan,             0.00072517,             0.00072517,             0.00072517
                     50,                 1.0934,                 1.8604,                 1.1347,                0.76328,                0.60913,                0.76367,                0.42222,                    nan,                    nan,                    nan,              0.0007147,              0.0007147,              0.0007147
                     51,                  1.093,                 1.9159,                 1.1569,                0.60057,                0.78951,                0.79748,                0.41984,                    nan,                    nan,                    nan,             0.00070412,             0.00070412,             0.00070412
                     52,                 1.1239,                 1.8944,                 1.1615,                0.71625,                0.62941,                0.75385,                0.42923,                    nan,                    nan,                    nan,             0.00069344,             0.00069344,             0.00069344
                     53,                 1.1187,                 1.8809,                 1.1654,                0.58721,                 0.7405,                0.58501,                0.29003,                    nan,                    nan,                    nan,             0.00068266,             0.00068266,             0.00068266
                     54,                  1.105,                 1.8543,                  1.141,                0.63462,                0.77186,                0.71907,                0.37157,                    nan,                    nan,                    nan,             0.00067178,             0.00067178,             0.00067178
                     55,                    nan,                    nan,                    nan,                0.63299,                0.69756,                0.76138,                0.40797,                    nan,                    nan,                    nan,             0.00066082,             0.00066082,             0.00066082
                     56,                 1.0667,                  1.854,                 1.1366,                0.57366,                0.79594,                0.77631,                0.42491,                    nan,                    nan,                    nan,             0.00064979,             0.00064979,             0.00064979
                     57,                 1.0908,                 1.8788,                 1.1587,                0.55525,                0.75173,                0.67816,                0.34802,                    nan,                    nan,                    nan,             0.00063867,             0.00063867,             0.00063867
                     58,                 1.0939,                 1.8199,                 1.1271,                0.64863,                0.69712,                0.72153,                 0.3658,                    nan,                    nan,                    nan,              0.0006275,              0.0006275,              0.0006275
                     59,                 1.0509,                 1.8244,                 1.1147,                0.69458,                 0.6866,                0.71955,                0.35927,                    nan,                    nan,                    nan,             0.00061626,             0.00061626,             0.00061626
                     60,                 1.0995,                 1.8646,                  1.165,                0.68276,                 0.6867,                0.77575,                0.43176,                    nan,                    nan,                    nan,             0.00060497,             0.00060497,             0.00060497
                     61,                 1.1032,                 1.8472,                 1.1588,                0.77157,                0.63777,                0.74832,                0.42004,                    nan,                    nan,                    nan,             0.00059363,             0.00059363,             0.00059363
                     62,                 1.0512,                 1.8515,                 1.1462,                0.78793,                0.66725,                0.77578,                0.41246,                    nan,                    nan,                    nan,             0.00058225,             0.00058225,             0.00058225
                     63,                 1.0538,                 1.8886,                 1.1469,                0.75969,                0.65022,                0.78228,                0.42086,                    nan,                    nan,                    nan,             0.00057084,             0.00057084,             0.00057084
                     64,                 1.0604,                 1.8446,                 1.1352,                0.82379,                0.64458,                0.74539,                0.38259,                    nan,                    nan,                    nan,             0.00055941,             0.00055941,             0.00055941
                     65,                 1.0372,                 1.7894,                 1.1131,                0.87859,                0.58972,                0.77028,                0.38867,                    nan,                    nan,                    nan,             0.00054795,             0.00054795,             0.00054795
                     66,                 1.0385,                 1.8144,                 1.1341,                0.81608,                0.64386,                0.81025,                 0.4045,                    nan,                    nan,                    nan,             0.00053648,             0.00053648,             0.00053648
                     67,                 1.0434,                 1.8526,                 1.1045,                0.72886,                0.64861,                0.80346,                0.42505,                    nan,                    nan,                    nan,               0.000525,               0.000525,               0.000525
                     68,                 1.0273,                 1.8292,                 1.1157,                0.69316,                0.76913,                0.78193,                0.38925,                    nan,                    nan,                    nan,             0.00051352,             0.00051352,             0.00051352
                     69,                 1.0111,                 1.8224,                 1.1062,                0.79397,                0.62806,                0.78923,                0.40575,                    nan,                    nan,                    nan,             0.00050205,             0.00050205,             0.00050205
                     70,                  1.056,                 1.8063,                 1.1265,                0.75012,                0.62919,                0.76846,                0.42153,                    nan,                    nan,                    nan,             0.00049059,             0.00049059,             0.00049059
                     71,                 1.0286,                 1.8239,                  1.105,                0.81801,                0.64094,                0.76767,                0.40545,                    nan,                    nan,                    nan,             0.00047916,             0.00047916,             0.00047916
                     72,                 1.0174,                 1.7769,                 1.0975,                0.62097,                0.75253,                0.77895,                 0.3894,                    nan,                    nan,                    nan,             0.00046775,             0.00046775,             0.00046775
                     73,                 1.0121,                 1.7553,                 1.0808,                0.64116,                0.78263,                0.77772,                0.39071,                    nan,                    nan,                    nan,             0.00045637,             0.00045637,             0.00045637
                     74,                0.99263,                 1.7404,                 1.0891,                0.72568,                 0.7307,                0.77922,                 0.4273,                    nan,                    nan,                    nan,             0.00044503,             0.00044503,             0.00044503
