                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0331,                 5.2052,                 1.7435,                0.34017,                0.05602,                0.07337,                0.03441,                    nan,                    nan,                    nan,                 0.0673,              0.0003303,              0.0003303
                      2,                 1.7308,                  3.577,                 1.4892,                0.70156,                0.12099,                0.09703,                 0.0477,                    nan,                    nan,                    nan,                 0.0343,             0.00066354,             0.00066354
                      3,                  1.647,                 3.2855,                 1.4236,                0.61344,                0.10337,                 0.1303,                 0.0614,                    nan,                    nan,                    nan,              0.0012994,             0.00099642,             0.00099642
                      4,                 1.5565,                  2.985,                 1.3457,                0.53028,                 0.1851,                0.15784,                0.06607,                    nan,                    nan,                    nan,             0.00099875,             0.00099875,             0.00099875
                      5,                 1.5311,                 2.9408,                 1.3306,                0.52998,                0.18485,                0.20807,                0.10417,                    nan,                    nan,                    nan,             0.00099875,             0.00099875,             0.00099875
                      6,                 1.4982,                 2.7845,                  1.324,                0.56631,                0.24828,                0.26493,                0.12645,                    nan,                    nan,                    nan,             0.00099778,             0.00099778,             0.00099778
                      7,                 1.4905,                 2.6053,                 1.3055,                0.72912,                0.27126,                0.34401,                0.16054,                    nan,                    nan,                    nan,             0.00099654,             0.00099654,             0.00099654
                      8,                 1.4414,                 2.6158,                 1.3201,                0.66094,                0.27722,                0.47971,                 0.2464,                    nan,                    nan,                    nan,             0.00099502,             0.00099502,             0.00099502
                      9,                    nan,                    nan,                    nan,                0.75889,                0.27244,                0.45947,                0.21454,                    nan,                    nan,                    nan,             0.00099322,             0.00099322,             0.00099322
                     10,                 1.3962,                 2.4605,                 1.2957,                0.63208,                0.46955,                  0.574,                0.30863,                    nan,                    nan,                    nan,             0.00099115,             0.00099115,             0.00099115
                     11,                 1.3874,                 2.4239,                 1.2643,                0.58134,                0.51416,                0.60734,                0.32317,                    nan,                    nan,                    nan,             0.00098881,             0.00098881,             0.00098881
                     12,                  1.349,                 2.5908,                 1.2416,                0.64244,                0.51627,                0.53406,                0.27105,                    nan,                    nan,                    nan,              0.0009862,              0.0009862,              0.0009862
                     13,                  1.362,                 2.3542,                 1.2595,                0.50045,                0.44525,                0.60451,                0.34271,                    nan,                    nan,                    nan,             0.00098332,             0.00098332,             0.00098332
                     14,                 1.3355,                  2.342,                 1.2581,                0.67576,                0.40245,                0.54018,                0.24155,                    nan,                    nan,                    nan,             0.00098017,             0.00098017,             0.00098017
                     15,                  1.327,                 2.3352,                 1.2584,                 0.4583,                0.59003,                0.51661,                0.25462,                    nan,                    nan,                    nan,             0.00097675,             0.00097675,             0.00097675
                     16,                 1.3367,                 2.2718,                 1.2478,                0.42192,                0.70249,                0.66756,                0.31662,                    nan,                    nan,                    nan,             0.00097307,             0.00097307,             0.00097307
                     17,                 1.3452,                 2.2614,                 1.2533,                0.61192,                0.56291,                0.49619,                0.26027,                    nan,                    nan,                    nan,             0.00096913,             0.00096913,             0.00096913
                     18,                 1.3163,                 2.2189,                 1.2381,                0.65262,                0.58156,                0.72385,                0.37839,                    nan,                    nan,                    nan,             0.00096493,             0.00096493,             0.00096493
                     19,                 1.3281,                 2.2802,                 1.2567,                0.73869,                0.59909,                0.67039,                0.34788,                    nan,                    nan,                    nan,             0.00096048,             0.00096048,             0.00096048
                     20,                 1.3075,                 2.2142,                 1.2428,                0.64797,                0.56454,                0.67629,                0.35449,                    nan,                    nan,                    nan,             0.00095577,             0.00095577,             0.00095577
                     21,                 1.3231,                 2.1808,                 1.2364,                0.50896,                0.61238,                0.62284,                0.32115,                    nan,                    nan,                    nan,              0.0009508,              0.0009508,              0.0009508
                     22,                 1.2935,                 2.1829,                  1.232,                0.55903,                0.66843,                0.59872,                0.27921,                    nan,                    nan,                    nan,             0.00094559,             0.00094559,             0.00094559
                     23,                 1.3169,                  2.205,                 1.2463,                0.69632,                0.66175,                0.68415,                0.32868,                    nan,                    nan,                    nan,             0.00094013,             0.00094013,             0.00094013
                     24,                 1.2925,                 2.1049,                 1.2152,                 0.6296,                0.67975,                0.67262,                0.33433,                    nan,                    nan,                    nan,             0.00093444,             0.00093444,             0.00093444
                     25,                 1.2738,                 2.0808,                 1.2098,                 0.4779,                0.60951,                0.67695,                0.33912,                    nan,                    nan,                    nan,              0.0009285,              0.0009285,              0.0009285
                     26,                 1.2496,                 2.1107,                 1.2189,                0.69676,                0.65973,                0.72289,                0.33018,                    nan,                    nan,                    nan,             0.00092232,             0.00092232,             0.00092232
                     27,                 1.2736,                 2.0685,                 1.2095,                0.64946,                 0.6966,                0.79319,                0.40959,                    nan,                    nan,                    nan,             0.00091592,             0.00091592,             0.00091592
                     28,                 1.2553,                  2.114,                 1.2266,                0.58718,                0.70673,                0.75103,                0.38814,                    nan,                    nan,                    nan,             0.00090928,             0.00090928,             0.00090928
                     29,                  1.264,                 2.0379,                 1.2148,                 0.6496,                0.67699,                0.72459,                0.36912,                    nan,                    nan,                    nan,             0.00090242,             0.00090242,             0.00090242
                     30,                 1.2082,                 2.0469,                 1.1891,                0.68163,                0.65702,                0.72155,                0.41804,                    nan,                    nan,                    nan,             0.00089535,             0.00089535,             0.00089535
                     31,                 1.2267,                   2.01,                 1.1904,                0.69322,                 0.6266,                0.66758,                0.32911,                    nan,                    nan,                    nan,             0.00088805,             0.00088805,             0.00088805
                     32,                 1.2525,                 2.0304,                 1.2044,                0.58529,                0.78391,                0.69668,                0.34741,                    nan,                    nan,                    nan,             0.00088054,             0.00088054,             0.00088054
                     33,                 1.2499,                 2.0897,                 1.1906,                0.66913,                 0.6456,                0.64734,                0.35329,                    nan,                    nan,                    nan,             0.00087283,             0.00087283,             0.00087283
                     34,                 1.2014,                 2.0608,                 1.1723,                 0.6786,                0.68189,                 0.7281,                0.37497,                    nan,                    nan,                    nan,             0.00086491,             0.00086491,             0.00086491
                     35,                 1.1909,                 1.9505,                 1.1569,                0.62946,                0.72988,                0.76378,                0.37245,                    nan,                    nan,                    nan,             0.00085679,             0.00085679,             0.00085679
                     36,                 1.1932,                 1.9475,                 1.1807,                0.75417,                0.69103,                0.82926,                0.42268,                    nan,                    nan,                    nan,             0.00084848,             0.00084848,             0.00084848
                     37,                 1.1998,                 1.9731,                 1.1951,                0.74096,                0.66215,                0.83169,                 0.4154,                    nan,                    nan,                    nan,             0.00083998,             0.00083998,             0.00083998
                     38,                 1.1896,                 1.9439,                 1.1778,                0.58612,                0.77188,                0.80761,                0.40468,                    nan,                    nan,                    nan,              0.0008313,              0.0008313,              0.0008313
                     39,                 1.2019,                 1.9178,                 1.1631,                0.58527,                0.71261,                0.80588,                0.40028,                    nan,                    nan,                    nan,             0.00082244,             0.00082244,             0.00082244
                     40,                 1.1959,                 1.9058,                 1.1646,                0.57806,                0.70239,                0.68341,                0.34673,                    nan,                    nan,                    nan,              0.0008134,              0.0008134,              0.0008134
                     41,                 1.1667,                 1.8859,                 1.1578,                0.64098,                0.68349,                0.80904,                0.38512,                    nan,                    nan,                    nan,              0.0008042,              0.0008042,              0.0008042
                     42,                 1.1627,                 1.9415,                 1.1702,                0.63226,                0.70887,                 0.7152,                0.38997,                    nan,                    nan,                    nan,             0.00079483,             0.00079483,             0.00079483
                     43,                 1.2054,                 1.9108,                 1.1834,                   0.68,                 0.6652,                0.74324,                0.36773,                    nan,                    nan,                    nan,             0.00078531,             0.00078531,             0.00078531
                     44,                 1.1622,                 1.9228,                 1.1636,                0.72353,                0.66826,                0.80768,                0.46087,                    nan,                    nan,                    nan,             0.00077563,             0.00077563,             0.00077563
                     45,                 1.1594,                 1.9206,                 1.1516,                0.76183,                 0.6567,                0.78338,                0.37325,                    nan,                    nan,                    nan,             0.00076581,             0.00076581,             0.00076581
                     46,                 1.1434,                 1.9044,                 1.1548,                0.65955,                 0.6998,                0.79126,                0.36825,                    nan,                    nan,                    nan,             0.00075584,             0.00075584,             0.00075584
                     47,                 1.1616,                 1.8428,                 1.1434,                0.71935,                0.63395,                0.77147,                0.39994,                    nan,                    nan,                    nan,             0.00074574,             0.00074574,             0.00074574
                     48,                 1.1219,                 1.8511,                 1.1334,                0.62956,                0.71216,                0.79722,                 0.4553,                    nan,                    nan,                    nan,             0.00073552,             0.00073552,             0.00073552
                     49,                 1.1266,                 1.9058,                 1.0998,                0.77398,                0.56455,                0.64866,                0.33876,                    nan,                    nan,                    nan,             0.00072517,             0.00072517,             0.00072517
                     50,                 1.1269,                 1.8059,                 1.1119,                0.57537,                0.78479,                0.80827,                0.41699,                    nan,                    nan,                    nan,              0.0007147,              0.0007147,              0.0007147
