                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9776,                 4.2247,                 1.7461,                0.44644,                0.02404,                0.04368,                0.01875,                 2.0844,                 5.8831,                 1.0199,               0.067308,             0.00033022,             0.00033022
                      1,                 1.7117,                 3.2789,                 1.4799,                  0.302,                0.07192,                0.06457,                0.02881,                 2.0228,                 7.8098,                 1.2476,               0.034308,             0.00066346,             0.00066346
                      2,                 1.7361,                 3.1698,                 1.4866,                0.51789,                0.14752,                0.11869,                0.04556,                 2.0828,                 7.3516,                 1.3344,              0.0013079,             0.00099633,             0.00099633
