                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8204,                 4.6896,                 2.3375,                0.00483,                0.19583,                0.03299,                0.01379,                 1.9615,                  8.764,                 1.7624,               0.067122,             0.00016522,             0.00016522
                      1,                 1.7437,                 3.9156,                 2.2128,                0.38314,                  0.325,                0.04104,                0.01813,                 2.2762,                 8.1032,                 1.9054,               0.033955,             0.00033184,             0.00033184
                      2,                 1.7014,                 3.6259,                  2.186,                0.51707,                0.13928,                0.16861,                0.06265,                 1.6614,                 6.6435,                  1.524,             0.00078817,             0.00049831,             0.00049831
