                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.98086,                 2.0824,                 1.2142,                0.50971,                0.49515,                0.68172,                0.33403,                 1.3621,                 5.5359,                 1.0265,             0.00044135,             0.00044135,             0.00044135
                     34,                 1.0125,                 2.1374,                  1.256,                0.41451,                0.65248,                0.67134,                0.33848,                  1.291,                 5.3392,                 1.0022,              0.0004378,              0.0004378,              0.0004378
                     35,                 1.0109,                 2.1118,                 1.2428,                0.56511,                0.68437,                0.71306,                0.35765,                  1.454,                 5.6399,                 1.0665,             0.00043416,             0.00043416,             0.00043416
                     36,                 1.0347,                 2.0789,                 1.2276,                0.51669,                0.79375,                0.70106,                0.35753,                 1.4007,                 4.9219,                 1.0256,             0.00043044,             0.00043044,             0.00043044
                     37,                  1.008,                 2.0813,                 1.2306,                0.50092,                0.60625,                0.69246,                0.34314,                 1.4318,                  5.503,                   1.09,             0.00042663,             0.00042663,             0.00042663
                     38,                 0.9806,                 2.0129,                 1.2064,                0.49317,                0.68217,                 0.7539,                0.33452,                 1.3998,                 5.9536,                 1.1083,             0.00042273,             0.00042273,             0.00042273
                     39,                0.97419,                 2.0391,                 1.2183,                0.66097,                0.67148,                0.71859,                0.36495,                 1.4768,                 5.6774,                 1.1049,             0.00041876,             0.00041876,             0.00041876
                     40,                0.98164,                 2.0361,                 1.2105,                 0.7906,                0.52591,                0.72932,                0.32424,                 1.5395,                 5.6969,                 1.1417,             0.00041471,             0.00041471,             0.00041471
                     41,                0.96964,                 2.0011,                  1.215,                0.53533,                0.48226,                0.65934,                0.32316,                  1.531,                 5.9828,                 1.1513,             0.00041058,             0.00041058,             0.00041058
                     42,                0.98977,                 2.0402,                 1.2334,                0.58212,                0.61659,                 0.6722,                0.33515,                 1.4182,                  6.027,                 1.1312,             0.00040638,             0.00040638,             0.00040638
                     43,                0.97969,                 1.9903,                 1.2146,                0.53116,                0.60938,                0.66655,                 0.3423,                 1.4955,                 5.7708,                 1.1158,              0.0004021,              0.0004021,              0.0004021
                     44,                0.98397,                 2.0035,                 1.2142,                0.76027,                0.46154,                0.71723,                0.38464,                 1.5491,                  5.811,                 1.1568,             0.00039775,             0.00039775,             0.00039775
                     45,                0.95947,                 1.9955,                 1.2025,                0.74026,                0.52788,                0.68908,                0.34202,                 1.5003,                 5.4417,                 1.1231,             0.00039334,             0.00039334,             0.00039334
                     46,                0.97257,                 2.0151,                 1.2095,                0.58104,                 0.6375,                0.77065,                0.40188,                 1.4298,                 5.2088,                 1.0745,             0.00038886,             0.00038886,             0.00038886
                     47,                 0.9586,                 2.0055,                 1.2085,                0.50941,                0.62187,                 0.6415,                0.37571,                  1.481,                 5.7132,                 1.1218,             0.00038431,             0.00038431,             0.00038431
                     48,                0.92787,                 1.9895,                 1.2099,                0.60904,                0.49536,                0.60768,                0.31862,                 1.3542,                 5.5004,                 1.0461,             0.00037971,             0.00037971,             0.00037971
                     49,                0.94626,                 1.9906,                 1.2081,                0.34538,                0.61691,                0.66619,                 0.3489,                 1.3894,                 5.4294,                 1.0341,             0.00037504,             0.00037504,             0.00037504
                     50,                0.92581,                 1.9768,                 1.1897,                0.44025,                 0.7625,                0.72826,                0.36316,                 1.4705,                 5.4055,                 1.0544,             0.00037032,             0.00037032,             0.00037032
                     51,                0.92476,                 1.9338,                 1.1834,                0.61355,                0.62187,                0.67858,                0.35827,                 1.4164,                 5.6455,                 1.0669,             0.00036555,             0.00036555,             0.00036555
                     52,                0.94876,                 1.9862,                 1.2007,                0.64966,                0.56446,                0.70474,                0.37308,                 1.4805,                 5.5779,                 1.0888,             0.00036072,             0.00036072,             0.00036072
                     53,                 0.9014,                 1.9713,                 1.1975,                0.73517,                0.49197,                0.72679,                0.31748,                 1.4797,                 5.3767,                 1.0558,             0.00035584,             0.00035584,             0.00035584
                     54,                0.90728,                 1.9708,                 1.1766,                0.55486,                0.60938,                0.64309,                0.30611,                 1.3997,                 5.1057,                 1.0318,             0.00035092,             0.00035092,             0.00035092
                     55,                0.89437,                 1.9495,                 1.1925,                0.47299,                0.62242,                0.65825,                0.35363,                 1.4611,                 5.4828,                 1.0835,             0.00034595,             0.00034595,             0.00034595
