                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7582,                 4.1199,                 1.8003,                0.00043,                  0.125,                0.04194,                0.02365,                 2.0493,                  8.315,                  1.388,               0.067405,             0.00016379,             0.00016379
                      1,                 1.6506,                 3.3624,                 1.6571,                0.53737,                 0.0375,                 0.0398,                0.01526,                 2.1383,                 7.7897,                 1.5314,               0.034238,             0.00033042,             0.00033042
                      2,                  1.596,                 3.3187,                 1.6764,                 0.0018,                 0.3625,                0.00841,                0.00403,                 2.0546,                 9.9142,                 1.7608,              0.0010716,             0.00049689,             0.00049689
                      3,                 1.5535,                 3.2124,                 1.6215,                0.78684,                   0.05,                0.05026,                0.02275,                 1.9894,                 8.0218,                 1.5586,             0.00049946,             0.00049946,             0.00049946
                      4,                 1.5209,                 3.0688,                 1.6032,                0.77205,                0.09482,                0.08329,                0.02831,                 2.1191,                 8.4091,                 1.6146,             0.00049946,             0.00049946,             0.00049946
                      5,                 1.5059,                 3.0337,                 1.6068,                0.71446,                 0.0875,                0.13251,                0.05653,                  2.147,                 6.7712,                 1.5135,             0.00049904,             0.00049904,             0.00049904
                      6,                 1.4594,                 2.9457,                 1.5849,                0.83246,                 0.1125,                0.17233,                0.06471,                 1.8683,                 7.0514,                 1.3368,             0.00049851,             0.00049851,             0.00049851
                      7,                  1.492,                 2.9028,                 1.5845,                0.75612,                 0.0625,                0.11854,                0.05306,                 1.7193,                 6.7112,                 1.2213,             0.00049785,             0.00049785,             0.00049785
                      8,                 1.4785,                 2.8472,                 1.5834,                0.63059,                0.16958,                0.15999,                 0.0526,                 1.7125,                 6.5601,                 1.1263,             0.00049708,             0.00049708,             0.00049708
                      9,                 1.4509,                 2.8233,                 1.5623,                0.82515,                 0.0875,                0.17488,                 0.0789,                 1.6259,                 6.3316,                 1.1908,             0.00049618,             0.00049618,             0.00049618
                     10,                 1.4256,                 2.7795,                 1.5572,                0.55148,                 0.1154,                0.22074,                0.09888,                 1.5941,                 6.3003,                 1.1783,             0.00049517,             0.00049517,             0.00049517
                     11,                 1.3985,                 2.7819,                 1.5286,                0.98199,                0.07437,                0.22311,                0.09632,                 1.9157,                  6.711,                 1.3525,             0.00049405,             0.00049405,             0.00049405
                     12,                 1.3607,                 2.7001,                 1.5176,                0.53927,                0.06527,                0.10865,                0.05083,                 1.6958,                 7.4817,                 1.3748,              0.0004928,              0.0004928,              0.0004928
                     13,                   1.34,                 2.6689,                 1.4933,                0.96495,                  0.125,                0.27511,                0.11535,                 1.6511,                 6.7466,                 1.2171,             0.00049144,             0.00049144,             0.00049144
                     14,                 1.3164,                 2.6231,                 1.4503,                0.58191,                 0.1677,                0.23865,                0.12311,                 1.4659,                 5.8685,                 1.1063,             0.00048997,             0.00048997,             0.00048997
                     15,                 1.2846,                 2.6324,                 1.4616,                0.62142,                0.18125,                0.31316,                0.11514,                 1.5802,                 5.8528,                 1.1988,             0.00048838,             0.00048838,             0.00048838
                     16,                 1.3002,                 2.6169,                 1.4475,                0.82873,                 0.1125,                0.26771,                0.11005,                  1.627,                 6.0577,                 1.1822,             0.00048667,             0.00048667,             0.00048667
                     17,                 1.3132,                 2.6402,                 1.4753,                0.69193,                0.21875,                0.27116,                0.14778,                 1.6576,                 5.8863,                 1.2417,             0.00048486,             0.00048486,             0.00048486
                     18,                 1.3112,                 2.6407,                 1.4909,                0.76584,                 0.1375,                0.33063,                 0.1565,                 1.6895,                 6.5877,                 1.2666,             0.00048293,             0.00048293,             0.00048293
                     19,                 1.2371,                 2.6129,                 1.4636,                0.84521,                0.20625,                0.26216,                0.11079,                 1.5653,                 5.8612,                 1.1572,             0.00048089,             0.00048089,             0.00048089
                     20,                 1.2718,                 2.6335,                 1.4823,                0.75877,                0.19205,                0.32404,                0.13427,                 1.5694,                 6.4584,                 1.1489,             0.00047874,             0.00047874,             0.00047874
                     21,                 1.2664,                 2.5862,                 1.4501,                0.46908,                 0.1875,                0.36664,                 0.1473,                 1.6784,                 6.0853,                 1.2048,             0.00047648,             0.00047648,             0.00047648
                     22,                 1.2439,                 2.5274,                  1.432,                0.07316,                0.52187,                0.29277,                0.12793,                 1.5644,                 7.2165,                 1.2503,             0.00047411,             0.00047411,             0.00047411
                     23,                 1.2503,                 2.5224,                 1.4418,                0.54969,                 0.0875,                0.18745,                0.08883,                   1.66,                 7.2689,                 1.3227,             0.00047164,             0.00047164,             0.00047164
                     24,                 1.2028,                 2.4502,                 1.3895,                0.75849,                  0.125,                0.21063,                0.10203,                 1.7992,                 7.4428,                 1.3765,             0.00046906,             0.00046906,             0.00046906
                     25,                 1.2105,                 2.5826,                 1.4469,                0.60471,                  0.125,                0.18101,                0.09836,                 1.6523,                  5.701,                 1.1939,             0.00046638,             0.00046638,             0.00046638
                     26,                  1.237,                  2.491,                  1.435,                0.63914,                0.37187,                0.51779,                 0.2593,                 1.5081,                 6.0979,                 1.1701,              0.0004636,              0.0004636,              0.0004636
                     27,                 1.2188,                 2.4665,                 1.4152,                0.58582,                 0.3125,                0.55158,                  0.319,                 1.5345,                 5.8287,                 1.1728,             0.00046071,             0.00046071,             0.00046071
                     28,                 1.2363,                 2.4937,                 1.4352,                0.52869,                0.32422,                0.49948,                0.22337,                 1.5284,                  5.336,                 1.0675,             0.00045773,             0.00045773,             0.00045773
                     29,                 1.1978,                 2.4226,                 1.3927,                0.54325,                0.40464,                0.46812,                0.21071,                 1.4778,                 5.1156,                 1.0583,             0.00045464,             0.00045464,             0.00045464
                     30,                 1.2161,                 2.4203,                 1.4114,                0.73256,                0.35303,                0.40659,                0.19456,                 1.5486,                  6.358,                 1.1889,             0.00045146,             0.00045146,             0.00045146
                     31,                 1.1891,                 2.3495,                 1.3771,                0.58352,                0.33437,                0.33751,                0.14739,                 1.5315,                 5.9645,                 1.1074,             0.00044818,             0.00044818,             0.00044818
                     32,                 1.1872,                 2.4321,                 1.4002,                0.49597,                  0.375,                0.50552,                0.21626,                 1.4518,                  5.285,                 1.0628,             0.00044482,             0.00044482,             0.00044482
                     33,                 1.1467,                 2.3008,                 1.3433,                 0.3915,                0.62348,                 0.5001,                0.25159,                 1.4614,                 5.8574,                 1.1133,             0.00044135,             0.00044135,             0.00044135
                     34,                 1.1522,                 2.3473,                 1.3726,                0.57454,                0.46562,                0.65211,                0.34748,                  1.469,                 5.3761,                  1.131,              0.0004378,              0.0004378,              0.0004378
                     35,                  1.164,                 2.3796,                 1.3808,                0.58542,                0.45358,                0.60483,                 0.2953,                 1.3687,                 5.0888,                 1.0696,             0.00043416,             0.00043416,             0.00043416
                     36,                  1.169,                 2.3148,                  1.341,                0.60829,                 0.5972,                0.56706,                0.27859,                 1.5811,                 5.3892,                  1.131,             0.00043044,             0.00043044,             0.00043044
                     37,                 1.1785,                  2.375,                 1.3749,                0.89659,                0.19182,                0.34946,                0.20782,                 1.5977,                 6.8502,                 1.1856,             0.00042663,             0.00042663,             0.00042663
                     38,                 1.1578,                  2.277,                 1.3401,                0.54421,                0.49687,                0.62855,                0.24687,                 1.4017,                 6.1215,                 1.0773,             0.00042273,             0.00042273,             0.00042273
                     39,                 1.1379,                 2.3441,                 1.3725,                0.56304,                0.59189,                0.70485,                0.40965,                 1.3773,                 5.0438,                 1.0315,             0.00041876,             0.00041876,             0.00041876
                     40,                 1.1239,                 2.3191,                 1.3417,                0.40965,                 0.6375,                0.67944,                0.39765,                 1.5299,                 5.1649,                 1.0797,             0.00041471,             0.00041471,             0.00041471
                     41,                 1.1245,                 2.2755,                 1.3501,                0.71042,                0.20439,                0.39144,                0.16142,                 1.6117,                 6.0681,                 1.1732,             0.00041058,             0.00041058,             0.00041058
                     42,                 1.1141,                 2.3629,                 1.3658,                0.72403,                  0.375,                0.55858,                 0.3171,                 1.4558,                  5.725,                 1.1018,             0.00040638,             0.00040638,             0.00040638
                     43,                 1.1457,                 2.3171,                 1.3716,                0.56634,                0.37187,                0.38638,                0.16796,                 1.4949,                 6.3907,                 1.1665,              0.0004021,              0.0004021,              0.0004021
                     44,                 1.1198,                 2.3194,                  1.364,                0.38584,                0.51898,                0.64663,                0.33478,                 1.4325,                 5.0878,                 1.0346,             0.00039775,             0.00039775,             0.00039775
                     45,                 1.1043,                 2.2843,                 1.3347,                0.80445,                 0.1875,                0.30754,                0.14143,                 1.7206,                 7.2956,                 1.3221,             0.00039334,             0.00039334,             0.00039334
                     46,                 1.1167,                 2.2803,                 1.3327,                0.78447,                0.23231,                0.44172,                0.15805,                 1.5898,                 6.2526,                 1.1419,             0.00038886,             0.00038886,             0.00038886
                     47,                 1.1011,                 2.2985,                 1.3338,                0.59799,                0.39621,                0.51475,                0.23925,                 1.4864,                 6.4904,                 1.2193,             0.00038431,             0.00038431,             0.00038431
                     48,                 1.0572,                 2.3016,                 1.3449,                0.54103,                0.53361,                0.58574,                0.23729,                 1.4568,                 5.6323,                 1.1248,             0.00037971,             0.00037971,             0.00037971
                     49,                 1.0485,                 2.2619,                 1.3306,                 0.7583,                0.46562,                0.59589,                0.31314,                 1.5144,                  5.624,                 1.1285,             0.00037504,             0.00037504,             0.00037504
                     50,                 1.0806,                 2.2697,                 1.3213,                0.66301,                0.49687,                0.67333,                0.36389,                 1.5422,                 4.9129,                 1.0614,             0.00037032,             0.00037032,             0.00037032
